locus_tag	gene_symbol	product	type
EQU24_RS05885		aromatic/alkene/methane monooxygenase hydroxylase/oxygenase subunit alpha	CDS
EQU24_RS05890		aromatic/alkene monooxygenase hydroxylase subunit beta	CDS
EQU24_RS05895		MmoB/DmpM family protein	CDS
EQU24_RS05900		hypothetical protein	CDS
EQU24_RS05905	mmoD	soluble methane monooxygenase-binding protein MmoD	CDS
EQU24_RS05910		FAD-binding oxidoreductase	CDS
EQU24_RS05915		BLUF domain-containing protein	CDS
EQU24_RS05920		hypothetical protein	CDS
EQU24_RS05925	groEL	chaperonin GroEL	CDS
EQU24_RS05930		sigma-54-dependent Fis family transcriptional regulator	CDS
EQU24_RS05935		hypothetical protein	CDS
EQU24_RS05940		Na/Pi symporter	CDS
EQU24_RS05945		MOSC domain-containing protein	CDS
EQU24_RS05950		hypothetical protein	CDS
EQU24_RS05960		PilZ domain-containing protein	CDS
EQU24_RS05965		ABC transporter substrate-binding protein	CDS
EQU24_RS05970		PQQ-dependent catabolism-associated beta-propeller protein	CDS
EQU24_RS05975		ATP-binding cassette domain-containing protein	CDS
EQU24_RS05980		ABC transporter permease	CDS
EQU24_RS05985	rfbB	dTDP-glucose 4,6-dehydratase	CDS
EQU24_RS05995		B12-binding domain-containing radical SAM protein	CDS
EQU24_RS06000		YfhL family 4Fe-4S dicluster ferredoxin	CDS
EQU24_RS06005	coaD	pantetheine-phosphate adenylyltransferase	CDS
EQU24_RS06010		citrate synthase	CDS
EQU24_RS06015	acnB	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	CDS
EQU24_RS06025		isocitrate/isopropylmalate family dehydrogenase	CDS
EQU24_RS06030		Uma2 family endonuclease	CDS
EQU24_RS06035	gloB	hydroxyacylglutathione hydrolase	CDS
EQU24_RS06040		hydrolase	CDS
EQU24_RS06045		hypothetical protein	CDS
EQU24_RS06050	ggt	gamma-glutamyltransferase	CDS
EQU24_RS06055		4'-phosphopantetheinyl transferase superfamily protein	CDS
EQU24_RS06060		DUF192 domain-containing protein	CDS
EQU24_RS06065		hypothetical protein	CDS
EQU24_RS06070		hypothetical protein	CDS
EQU24_RS06080		phosphoribosylglycinamide formyltransferase	CDS
EQU24_RS06085	lpdA	dihydrolipoyl dehydrogenase	CDS
EQU24_RS06090	aceF	dihydrolipoyllysine-residue acetyltransferase	CDS
EQU24_RS06095	aceE	pyruvate dehydrogenase (acetyl-transferring), homodimeric type	CDS
EQU24_RS06100	gltA	citrate synthase	CDS
EQU24_RS06105		bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase	CDS
EQU24_RS06110	edd	phosphogluconate dehydratase	CDS
EQU24_RS06115	purE	5-(carboxyamino)imidazole ribonucleotide mutase	CDS
EQU24_RS06120		5-(carboxyamino)imidazole ribonucleotide synthase	CDS
EQU24_RS06125		proteasome-type protease	CDS
EQU24_RS06130		hypothetical protein	CDS
EQU24_RS06135		OmpA family protein	CDS
EQU24_RS06140		MotA/TolQ/ExbB proton channel family protein	CDS
EQU24_RS06150		response regulator	CDS
EQU24_RS06155		methylenetetrahydromethanopterin dehydrogenase	CDS
EQU24_RS06160		methylenetetrahydromethanopterin dehydrogenase	CDS
EQU24_RS06170		5-formyltetrahydrofolate cyclo-ligase	CDS
EQU24_RS06175		carboxynorspermidine decarboxylase	CDS
EQU24_RS06180		zinc-dependent alcohol dehydrogenase family protein	CDS
EQU24_RS06185		HDOD domain-containing protein	CDS
EQU24_RS06190		bifunctional diguanylate cyclase/phosphodiesterase	CDS
EQU24_RS06195	mrcB	penicillin-binding protein 1B	CDS
EQU24_RS06200		transposase	CDS
EQU24_RS06210		hypothetical protein	CDS
EQU24_RS06215		YbgA family protein	CDS
EQU24_RS06220	lpdA	dihydrolipoyl dehydrogenase	CDS
EQU24_RS06230		methyltransferase domain-containing protein	CDS
EQU24_RS06235		TIGR04282 family arsenosugar biosynthesis glycosyltransferase	CDS
EQU24_RS06240	arsS	arsenosugar biosynthesis radical SAM protein ArsS	CDS
EQU24_RS06245		type I restriction-modification system subunit M	CDS
EQU24_RS06250		restriction endonuclease subunit S	CDS
EQU24_RS06255		type II toxin-antitoxin system RelE/ParE family toxin	CDS
EQU24_RS06260		HigA family addiction module antitoxin	CDS
EQU24_RS06265		DEAD/DEAH box helicase family protein	CDS
EQU24_RS06270		caspase family protein	CDS
EQU24_RS06275		hypothetical protein	CDS
EQU24_RS06280		RNA polymerase sigma factor	CDS
EQU24_RS06285		CHASE2 domain-containing protein	CDS
EQU24_RS06290		M48 family metallopeptidase	CDS
EQU24_RS06295		HTH domain-containing protein	CDS
EQU24_RS06300		(2Fe-2S)-binding protein	CDS
EQU24_RS06305		cytochrome c3 family protein	CDS
EQU24_RS06310		DUF3365 domain-containing protein	CDS
EQU24_RS06315		metallophosphoesterase	CDS
EQU24_RS06320			tRNA
EQU24_RS06325	rnr	ribonuclease R	CDS
EQU24_RS06330	rlmB	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	CDS
EQU24_RS06335		hypothetical protein	CDS
EQU24_RS06340		caspase family protein	CDS
EQU24_RS06345	tssJ	type VI secretion system lipoprotein TssJ	CDS
EQU24_RS06350		transglycosylase SLT domain-containing protein	CDS
EQU24_RS06355		acyl-CoA thioesterase	CDS
EQU24_RS06360	parC	DNA topoisomerase IV subunit A	CDS
EQU24_RS06365	folD	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	CDS
EQU24_RS06370	prsR	PEP-CTERM-box response regulator transcription factor	CDS
EQU24_RS06375	prsK	PEP-CTERM system histidine kinase PrsK	CDS
EQU24_RS06385		tetratricopeptide repeat protein	CDS
EQU24_RS06390		IS66 family transposase	CDS
EQU24_RS06395		tetratricopeptide repeat protein	CDS
EQU24_RS06400		polysaccharide biosynthesis/export family protein	CDS
EQU24_RS06405		hypothetical protein	CDS
EQU24_RS06410		XrtA-associated tyrosine autokinase	CDS
EQU24_RS06415		TIGR03016 family PEP-CTERM system-associated outer membrane protein	CDS
EQU24_RS06420		DUF3473 domain-containing protein	CDS
EQU24_RS06425		FemAB family PEP-CTERM system-associated protein	CDS
EQU24_RS06430		TIGR03087 family PEP-CTERM/XrtA system glycosyltransferase	CDS
EQU24_RS06435	ppdK	pyruvate, phosphate dikinase	CDS
EQU24_RS06440		histone deacetylase family protein	CDS
EQU24_RS06445		ATP-dependent zinc protease	CDS
EQU24_RS06450	ispG	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	CDS
EQU24_RS06455		metallophosphoesterase	CDS
EQU24_RS06460		DNA translocase FtsK	CDS
EQU24_RS06465		hypothetical protein	CDS
EQU24_RS06470	queG	tRNA epoxyqueuosine(34) reductase QueG	CDS
EQU24_RS06480		tetratricopeptide repeat protein	CDS
EQU24_RS06485		hypothetical protein	CDS
EQU24_RS06490		HDOD domain-containing protein	CDS
EQU24_RS06495		DUF4124 domain-containing protein	CDS
EQU24_RS06500		CHASE domain-containing protein	CDS
EQU24_RS06505		ATP-binding protein	CDS
EQU24_RS06510		DUF3365 domain-containing protein	CDS
EQU24_RS06515		hypothetical protein	CDS
EQU24_RS06520		TIM barrel protein	CDS
EQU24_RS06525		NAD(P)-dependent oxidoreductase	CDS
EQU24_RS06530		hypothetical protein	CDS
EQU24_RS06535	ettA	energy-dependent translational throttle protein EttA	CDS
EQU24_RS06540		hypothetical protein	CDS
EQU24_RS06545		histidine kinase	CDS
EQU24_RS06550		response regulator transcription factor	CDS
EQU24_RS06555		hypothetical protein	CDS
EQU24_RS06560		fructosamine kinase family protein	CDS
EQU24_RS06570		fused response regulator/phosphatase	CDS
EQU24_RS06575	trkA	Trk system potassium transporter TrkA	CDS
EQU24_RS06580		TrkH family potassium uptake protein	CDS
EQU24_RS06585		hypothetical protein	CDS
EQU24_RS06590		TrkA family potassium uptake protein	CDS
EQU24_RS06595		TrkH family potassium uptake protein	CDS
EQU24_RS06600		hypothetical protein	CDS
EQU24_RS06605		MarC family protein	CDS
EQU24_RS06610		D-Ala-D-Ala carboxypeptidase family metallohydrolase	CDS
EQU24_RS06615		L,D-transpeptidase family protein	CDS
EQU24_RS06625		FlgO family outer membrane protein	CDS
EQU24_RS06635	mtnC	acireductone synthase	CDS
EQU24_RS06640		acireductone dioxygenase	CDS
EQU24_RS06645		methylthioribulose 1-phosphate dehydratase	CDS
EQU24_RS06655		LEA type 2 family protein	CDS
EQU24_RS06660		SPOR domain-containing protein	CDS
EQU24_RS06665		hypothetical protein	CDS
EQU24_RS06670		hypothetical protein	CDS
EQU24_RS06675		ATP/GTP-binding protein	CDS
EQU24_RS06680		hypothetical protein	CDS
EQU24_RS06685		roadblock/LC7 domain-containing protein	CDS
EQU24_RS06690		PAS domain-containing protein	CDS
EQU24_RS06695		phosphate/phosphite/phosphonate ABC transporter substrate-binding protein	CDS
EQU24_RS06700		Uma2 family endonuclease	CDS
EQU24_RS06705		ATP-binding protein	CDS
EQU24_RS06710		Uma2 family endonuclease	CDS
EQU24_RS06715		ATP-binding protein	CDS
EQU24_RS06720	rfbA	glucose-1-phosphate thymidylyltransferase RfbA	CDS
EQU24_RS06725		glycosyltransferase family 2 protein	CDS
EQU24_RS06730		GNAT family N-acetyltransferase	CDS
EQU24_RS06735		ATP-grasp domain-containing protein	CDS
EQU24_RS06740		NAD(P)-dependent oxidoreductase	CDS
EQU24_RS06745		flippase-like domain-containing protein	CDS
EQU24_RS06750	rffA	dTDP-4-amino-4,6-dideoxygalactose transaminase	CDS
EQU24_RS06755		glycosyltransferase family 39 protein	CDS
EQU24_RS06760		sulfatase-like hydrolase/transferase	CDS
EQU24_RS06765		putative O-glycosylation ligase, exosortase A system-associated	CDS
EQU24_RS06770		hypothetical protein	CDS
EQU24_RS06775		glycosyltransferase family 4 protein	CDS
EQU24_RS06780		glycosyltransferase family 2 protein	CDS
EQU24_RS06785		sulfotransferase	CDS
EQU24_RS06790		glycosyltransferase	CDS
EQU24_RS06795		glycosyltransferase	CDS
EQU24_RS06800		glycosyltransferase	CDS
EQU24_RS06805		polysaccharide deacetylase family protein	CDS
EQU24_RS06810		class I SAM-dependent methyltransferase	CDS
EQU24_RS06815		asparagine synthase-related protein	CDS
EQU24_RS06820		lipopolysaccharide biosynthesis protein	CDS
EQU24_RS06825		tetratricopeptide repeat protein	CDS
EQU24_RS06830		sulfotransferase domain-containing protein	CDS
EQU24_RS06835		formyl transferase	CDS
EQU24_RS06840		terpene cyclase/mutase family protein	CDS
EQU24_RS06845		AMP-binding protein	CDS
EQU24_RS06850		hypothetical protein	CDS
EQU24_RS06855		nucleotidyltransferase domain-containing protein	CDS
EQU24_RS06860		IS110 family transposase	CDS
EQU24_RS06870		Rpn family recombination-promoting nuclease/putative transposase	CDS
EQU24_RS06880		hypothetical protein	CDS
EQU24_RS06885		Rpn family recombination-promoting nuclease/putative transposase	CDS
EQU24_RS06895		Uma2 family endonuclease	CDS
EQU24_RS06900		hypothetical protein	CDS
EQU24_RS06905		Rpn family recombination-promoting nuclease/putative transposase	CDS
EQU24_RS06910		glycosyltransferase	CDS
EQU24_RS06915		hypothetical protein	CDS
EQU24_RS06920	rfbC	dTDP-4-dehydrorhamnose 3,5-epimerase	CDS
EQU24_RS06925	rfbA	glucose-1-phosphate thymidylyltransferase RfbA	CDS
EQU24_RS06930	rfbD	dTDP-4-dehydrorhamnose reductase	CDS
EQU24_RS06935		glycosyltransferase, exosortase A system-associated	CDS
EQU24_RS06940		glycosyltransferase	CDS
EQU24_RS06945		asparagine synthase C-terminal domain-containing protein	CDS
EQU24_RS06950		hypothetical protein	CDS
EQU24_RS06955		GGDEF domain-containing protein	CDS
EQU24_RS06960		DUF1674 domain-containing protein	CDS
EQU24_RS06965	sdhC	succinate dehydrogenase, cytochrome b556 subunit	CDS
EQU24_RS06970	sdhD	succinate dehydrogenase, hydrophobic membrane anchor protein	CDS
EQU24_RS06975	sdhA	succinate dehydrogenase flavoprotein subunit	CDS
EQU24_RS06980		succinate dehydrogenase iron-sulfur subunit	CDS
EQU24_RS06985		succinate dehydrogenase assembly factor 2	CDS
EQU24_RS06990		DnaJ domain-containing protein	CDS
EQU24_RS06995		MerR family transcriptional regulator	CDS
EQU24_RS07000	trxC	thioredoxin TrxC	CDS
EQU24_RS07005		flavin reductase family protein	CDS
EQU24_RS07015		cytochrome-c peroxidase	CDS
EQU24_RS07020		hypothetical protein	CDS
EQU24_RS07025	ppx	exopolyphosphatase	CDS
EQU24_RS07030		ABC transporter ATP-binding protein	CDS
EQU24_RS07035		ABC transporter permease	CDS
EQU24_RS07040	glnE	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	CDS
EQU24_RS07045		branched-chain amino acid transaminase	CDS
EQU24_RS07055		O-antigen ligase family protein	CDS
EQU24_RS07060		OadG family protein	CDS
EQU24_RS07065		O-acetyl-ADP-ribose deacetylase	CDS
EQU24_RS07070	msrB	peptide-methionine (R)-S-oxide reductase MsrB	CDS
EQU24_RS07075		M18 family aminopeptidase	CDS
EQU24_RS07080		EAL domain-containing protein	CDS
EQU24_RS07085		alpha-ketoglutarate-dependent dioxygenase AlkB	CDS
EQU24_RS07090	msrA	peptide-methionine (S)-S-oxide reductase MsrA	CDS
EQU24_RS07095	hslO	Hsp33 family molecular chaperone HslO	CDS
EQU24_RS07100		hypothetical protein	CDS
EQU24_RS07110		phosphoadenylyl-sulfate reductase	CDS
EQU24_RS07115	gshA	glutamate--cysteine ligase	CDS
EQU24_RS07130	recQ	DNA helicase RecQ	CDS
EQU24_RS07135	yeiP	elongation factor P-like protein YeiP	CDS
EQU24_RS07140		NUDIX hydrolase	CDS
EQU24_RS07150		endonuclease/exonuclease/phosphatase family protein	CDS
EQU24_RS07155		CDP-alcohol phosphatidyltransferase family protein	CDS
EQU24_RS07165		ammonium transporter	CDS
EQU24_RS07170		P-II family nitrogen regulator	CDS
EQU24_RS07175		ammonium transporter	CDS
EQU24_RS07180	glnK	P-II family nitrogen regulator	CDS
EQU24_RS07185	glnA	glutamate--ammonia ligase	CDS
EQU24_RS07190	glnL	nitrogen regulation protein NR(II)	CDS
EQU24_RS07195	ntrC	nitrogen regulation protein NR(I)	CDS
EQU24_RS07200		transketolase	CDS
EQU24_RS07205		efflux RND transporter permease subunit	CDS
EQU24_RS07210		efflux RND transporter periplasmic adaptor subunit	CDS
EQU24_RS07215		hypothetical protein	CDS
EQU24_RS07220		EAL domain-containing protein	CDS
EQU24_RS07225		response regulator	CDS
EQU24_RS07230		PAS domain S-box protein	CDS
EQU24_RS07235		GAF domain-containing protein	CDS
EQU24_RS07240		sterol desaturase family protein	CDS
EQU24_RS07250		hypothetical protein	CDS
EQU24_RS07255		EAL domain-containing protein	CDS
EQU24_RS07260		NAD(P)H-quinone oxidoreductase	CDS
EQU24_RS07265		sulfurtransferase	CDS
EQU24_RS07275		NAD+ synthase	CDS
EQU24_RS07280		CsiV family protein	CDS
EQU24_RS07285	miaB	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	CDS
EQU24_RS07290		PhoH family protein	CDS
EQU24_RS07295	ybeY	rRNA maturation RNase YbeY	CDS
EQU24_RS07300		CBS domain-containing protein	CDS
EQU24_RS07310		hypothetical protein	CDS
EQU24_RS07330		MliC family protein	CDS
EQU24_RS07335		META domain-containing protein	CDS
EQU24_RS07340		pyridoxal phosphate-dependent aminotransferase	CDS
EQU24_RS07345	uvrB	excinuclease ABC subunit UvrB	CDS
EQU24_RS07350		transglutaminase family protein	CDS
EQU24_RS07355		EAL domain-containing protein	CDS
EQU24_RS07360		GAF domain-containing protein	CDS
EQU24_RS07365		biliverdin-producing heme oxygenase	CDS
EQU24_RS07375			tRNA
EQU24_RS07380	thrS	threonine--tRNA ligase	CDS
EQU24_RS07385	infC	translation initiation factor IF-3	CDS
EQU24_RS07390	rpmI	50S ribosomal protein L35	CDS
EQU24_RS07395	rplT	50S ribosomal protein L20	CDS
EQU24_RS07400	pheS	phenylalanine--tRNA ligase subunit alpha	CDS
EQU24_RS07405	pheT	phenylalanine--tRNA ligase subunit beta	CDS
EQU24_RS07410	ihfA	integration host factor subunit alpha	CDS
EQU24_RS07415		MerR family transcriptional regulator	CDS
EQU24_RS07420			tRNA
EQU24_RS07425		hypothetical protein	CDS
EQU24_RS07430	pth	aminoacyl-tRNA hydrolase	CDS
EQU24_RS07435		hypothetical protein	CDS
EQU24_RS07440		Bax inhibitor-1/YccA family protein	CDS
EQU24_RS07445		DUF4007 family protein	CDS
EQU24_RS07450		hypothetical protein	CDS
EQU24_RS07455		2-oxoisovalerate dehydrogenase E1 subunit beta	CDS
EQU24_RS07465		DUF4351 domain-containing protein	CDS
EQU24_RS07470		nucleotidyltransferase domain-containing protein	CDS
EQU24_RS07475		hypothetical protein	CDS
EQU24_RS07480		phosphoadenosine phosphosulfate reductase family protein	CDS
EQU24_RS07485		IS66 family transposase	CDS
EQU24_RS07490		DUF4007 family protein	CDS
EQU24_RS07495		hypothetical protein	CDS
EQU24_RS07500		type II toxin-antitoxin system PemK/MazF family toxin	CDS
EQU24_RS07505		hypothetical protein	CDS
EQU24_RS07510		hypothetical protein	CDS
EQU24_RS07515		PglZ domain-containing protein	CDS
EQU24_RS07520	brxL	BREX system Lon protease-like protein BrxL	CDS
EQU24_RS07525		hypothetical protein	CDS
EQU24_RS07530		hypothetical protein	CDS
EQU24_RS07535		type II toxin-antitoxin system RelE/ParE family toxin	CDS
EQU24_RS07545		BrnT family toxin	CDS
EQU24_RS07550		BrnA antitoxin family protein	CDS
EQU24_RS07555		Uma2 family endonuclease	CDS
EQU24_RS07565		AAA family ATPase	CDS
EQU24_RS07570		hypothetical protein	CDS
EQU24_RS07575		type II toxin-antitoxin system RelE/ParE family toxin	CDS
EQU24_RS07580		ATP-binding protein	CDS
EQU24_RS07585		HigA family addiction module antitoxin	CDS
EQU24_RS07590		curli production assembly protein CsgG	CDS
EQU24_RS07595		DUF4810 domain-containing protein	CDS
EQU24_RS07600		DUF799 family lipoprotein	CDS
EQU24_RS07605		PD-(D/E)XK nuclease domain-containing protein	CDS
EQU24_RS07610		HigA family addiction module antitoxin	CDS
EQU24_RS07615		CopG family antitoxin	CDS
EQU24_RS07625		hypothetical protein	CDS
EQU24_RS07630		DNA phosphorothioation-associated putative methyltransferase	CDS
EQU24_RS07635		aminotransferase class V-fold PLP-dependent enzyme	CDS
EQU24_RS07640		group II truncated hemoglobin	CDS
EQU24_RS07645		DUF45 domain-containing protein	CDS
EQU24_RS07650		redoxin domain-containing protein	CDS
EQU24_RS07655		fused MFS/spermidine synthase	CDS
EQU24_RS07660		antibiotic biosynthesis monooxygenase	CDS
EQU24_RS07665		iron-containing alcohol dehydrogenase	CDS
EQU24_RS07670	ppk1	polyphosphate kinase 1	CDS
EQU24_RS07680	corA	copper(I)-binding protein CorA	CDS
EQU24_RS07685		diguanylate cyclase	CDS
EQU24_RS07690		response regulator	CDS
EQU24_RS07695		PAS domain S-box protein	CDS
EQU24_RS07700		PAS domain S-box protein	CDS
EQU24_RS07705		response regulator	CDS
EQU24_RS07710		PAS domain S-box protein	CDS
EQU24_RS07715		PAS domain S-box protein	CDS
EQU24_RS07720		FprA family A-type flavoprotein	CDS
EQU24_RS07725		hypothetical protein	CDS
EQU24_RS07730		ATP-binding protein	CDS
EQU24_RS07740		STAS domain-containing protein	CDS
EQU24_RS07745		methyl-accepting chemotaxis protein	CDS
EQU24_RS07750		chemotaxis response regulator protein-glutamate methylesterase	CDS
EQU24_RS07755	cheD	chemoreceptor glutamine deamidase CheD	CDS
EQU24_RS07760		chemotaxis protein CheR	CDS
EQU24_RS07765		STAS domain-containing protein	CDS
EQU24_RS07770		chemotaxis protein CheW	CDS
EQU24_RS07775		methyl-accepting chemotaxis protein	CDS
EQU24_RS07780		chemotaxis protein CheW	CDS
EQU24_RS07785		chemotaxis protein CheA	CDS
EQU24_RS07790		response regulator	CDS
EQU24_RS07800		GGDEF domain-containing protein	CDS
EQU24_RS07805	cysN	sulfate adenylyltransferase subunit CysN	CDS
EQU24_RS07810		four helix bundle protein	CDS
EQU24_RS07815	cysD	sulfate adenylyltransferase subunit CysD	CDS
EQU24_RS07820	acs	acetate--CoA ligase	CDS
EQU24_RS07830	gluQRS	tRNA glutamyl-Q(34) synthetase GluQRS	CDS
EQU24_RS07835	dksA	RNA polymerase-binding protein DksA	CDS
EQU24_RS07840		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	CDS
EQU24_RS07845		peroxiredoxin	CDS
EQU24_RS07860		class 1 fructose-bisphosphatase	CDS
EQU24_RS07865		SemiSWEET transporter	CDS
EQU24_RS07870		sugar phosphorylase	CDS
EQU24_RS07875		MBL fold metallo-hydrolase	CDS
EQU24_RS07880		sulfite exporter TauE/SafE family protein	CDS
EQU24_RS07885		SDR family oxidoreductase	CDS
EQU24_RS07890		acetate kinase	CDS
EQU24_RS07895		phosphoketolase family protein	CDS
EQU24_RS07900		Gfo/Idh/MocA family oxidoreductase	CDS
EQU24_RS07905		DegT/DnrJ/EryC1/StrS family aminotransferase	CDS
EQU24_RS07910	lpxB	lipid-A-disaccharide synthase	CDS
EQU24_RS07915		hypothetical protein	CDS
EQU24_RS07930	recA	recombinase RecA	CDS
EQU24_RS07935		recombination regulator RecX	CDS
EQU24_RS07940	alaS	alanine--tRNA ligase	CDS
EQU24_RS07945		aspartate kinase	CDS
EQU24_RS07950	csrA	carbon storage regulator CsrA	CDS
EQU24_RS07955			tRNA
EQU24_RS07960			tRNA
EQU24_RS07965			tRNA
EQU24_RS07970		hypothetical protein	CDS
EQU24_RS07975		TonB-dependent receptor	CDS
EQU24_RS07980		cytochrome P450	CDS
EQU24_RS07985		response regulator	CDS
EQU24_RS07990		ATP-binding protein	CDS
EQU24_RS07995		IS3 family transposase	CDS
EQU24_RS08000		Y-family DNA polymerase	CDS
EQU24_RS08005	umuD	translesion error-prone DNA polymerase V autoproteolytic subunit	CDS
EQU24_RS08010		DUF1566 domain-containing protein	CDS
EQU24_RS08015	egtB	ergothioneine biosynthesis protein EgtB	CDS
EQU24_RS08020	egtD	L-histidine N(alpha)-methyltransferase	CDS
EQU24_RS08025		DUF427 domain-containing protein	CDS
EQU24_RS08030		IS4 family transposase	CDS
EQU24_RS08035		glutathione peroxidase	CDS
EQU24_RS08040		VOC family protein	CDS
EQU24_RS08045		IS3 family transposase	CDS
EQU24_RS08050		hypothetical protein	CDS
EQU24_RS08055		diguanylate cyclase	CDS
EQU24_RS08070	vapB	type II toxin-antitoxin system VapB family antitoxin	CDS
EQU24_RS08075		type II toxin-antitoxin system HigB family toxin	CDS
EQU24_RS08080		transcriptional regulator	CDS
EQU24_RS08085		site-specific integrase	CDS
EQU24_RS08090		DUF5615 family PIN-like protein	CDS
EQU24_RS08095		DUF433 domain-containing protein	CDS
EQU24_RS08100		helix-turn-helix domain-containing protein	CDS
EQU24_RS08105		hypothetical protein	CDS
EQU24_RS08110		hypothetical protein	CDS
EQU24_RS08115		hypothetical protein	CDS
EQU24_RS08120		IS1595 family transposase	CDS
EQU24_RS08125		hypothetical protein	CDS
EQU24_RS08130		type II toxin-antitoxin system Phd/YefM family antitoxin	CDS
EQU24_RS08135		PIN domain-containing protein	CDS
EQU24_RS08140		transposase	CDS
EQU24_RS08150		hypothetical protein	CDS
EQU24_RS08165		transposase	CDS
EQU24_RS08170		peroxiredoxin	CDS
EQU24_RS08175		type II toxin-antitoxin system HicB family antitoxin	CDS
EQU24_RS08185		DUF1778 domain-containing protein	CDS
EQU24_RS08190		GNAT family N-acetyltransferase	CDS
EQU24_RS08195		N-6 DNA methylase	CDS
EQU24_RS08200		restriction endonuclease subunit S	CDS
EQU24_RS08210		type II toxin-antitoxin system HicB family antitoxin	CDS
EQU24_RS08220		type II toxin-antitoxin system RelE/ParE family toxin	CDS
EQU24_RS08225		type I restriction endonuclease subunit R	CDS
EQU24_RS08230		lysozyme inhibitor LprI family protein	CDS
EQU24_RS08235		hypothetical protein	CDS
EQU24_RS08240		hypothetical protein	CDS
EQU24_RS08245		CopD family protein	CDS
EQU24_RS08250		DUF2231 domain-containing protein	CDS
EQU24_RS08255	coxB	cytochrome c oxidase subunit II	CDS
EQU24_RS08260	ctaD	cytochrome c oxidase subunit I	CDS
EQU24_RS08265		hypothetical protein	CDS
EQU24_RS08270		cytochrome c oxidase assembly protein	CDS
EQU24_RS08275		hypothetical protein	CDS
EQU24_RS08285		hypothetical protein	CDS
EQU24_RS08290		hypothetical protein	CDS
EQU24_RS08295		hypothetical protein	CDS
EQU24_RS08305		SHOCT domain-containing protein	CDS
EQU24_RS08315		hypothetical protein	CDS
EQU24_RS08320		2OG-Fe(II) oxygenase	CDS
EQU24_RS08325		methyltransferase	CDS
EQU24_RS08330		hypothetical protein	CDS
EQU24_RS08335		fumarate hydratase	CDS
EQU24_RS08340		response regulator	CDS
EQU24_RS08345		diguanylate cyclase	CDS
EQU24_RS08350		hydroxylamine reductase	CDS
EQU24_RS08355	haoB	hydroxylamine oxidation protein HaoB	CDS
EQU24_RS08360		hypothetical protein	CDS
EQU24_RS08365		glycoside hydrolase family 57	CDS
EQU24_RS08370		ATP-binding protein	CDS
EQU24_RS08375		transporter substrate-binding domain-containing protein	CDS
EQU24_RS08380		transporter substrate-binding domain-containing protein	CDS
EQU24_RS08385		serine hydrolase	CDS
EQU24_RS08390		response regulator	CDS
EQU24_RS08395	pntB	Re/Si-specific NAD(P)(+) transhydrogenase subunit beta	CDS
EQU24_RS08400		Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	CDS
EQU24_RS08405		response regulator transcription factor	CDS
EQU24_RS08410		response regulator	CDS
EQU24_RS08415		hypothetical protein	CDS
EQU24_RS08420		hypothetical protein	CDS
EQU24_RS08425		SdiA-regulated domain-containing protein	CDS
EQU24_RS08435		chemotaxis protein CheB	CDS
EQU24_RS08440		response regulator transcription factor	CDS
EQU24_RS08445		ATP-binding protein	CDS
EQU24_RS08450	urtA	urea ABC transporter substrate-binding protein	CDS
EQU24_RS08455	urtB	urea ABC transporter permease subunit UrtB	CDS
EQU24_RS08460	urtC	urea ABC transporter permease subunit UrtC	CDS
EQU24_RS08465	urtD	urea ABC transporter ATP-binding protein UrtD	CDS
EQU24_RS08470	urtE	urea ABC transporter ATP-binding subunit UrtE	CDS
EQU24_RS08475		acetamidase/formamidase family protein	CDS
EQU24_RS08480		formamidase	CDS
EQU24_RS08485		hydrogenase maturation protease	CDS
EQU24_RS08495		alpha/beta fold hydrolase	CDS
EQU24_RS08500	cobO	cob(I)yrinic acid a,c-diamide adenosyltransferase	CDS
EQU24_RS08505		hypothetical protein	CDS
EQU24_RS08510		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	CDS
EQU24_RS08515		NAD-dependent epimerase/dehydratase family protein	CDS
EQU24_RS08525		two-component system response regulator	CDS
EQU24_RS08530		PAS domain S-box protein	CDS
EQU24_RS08535		hypothetical protein	CDS
EQU24_RS08540		PAS domain-containing protein	CDS
EQU24_RS08545		EAL domain-containing protein	CDS
EQU24_RS08550		response regulator	CDS
EQU24_RS08555		PAS domain-containing protein	CDS
EQU24_RS08560		EAL domain-containing protein	CDS
EQU24_RS08565		ATP-binding protein	CDS
EQU24_RS08570		hypothetical protein	CDS
EQU24_RS08580		efflux RND transporter permease subunit	CDS
EQU24_RS08585		efflux RND transporter periplasmic adaptor subunit	CDS
EQU24_RS08590		efflux transporter outer membrane subunit	CDS
EQU24_RS08595		CerR family C-terminal domain-containing protein	CDS
EQU24_RS08605		DUF1249 domain-containing protein	CDS
EQU24_RS08610		6-carboxytetrahydropterin synthase	CDS
